"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"265","154C","122A","OA","OC",3,16.754,17.222,2.29507058714977,1.32505962130011,5.70127139666772
"266","154C","126B","OA","OC",3,16.0983333333333,13.673,4.82424401676919,2.78527858171813,11.9840864927422
"267","154C","135A","OA","OE",3,17.3306666666667,17.613,3.29358836731813,1.90155413047094,8.18172707023717
"268","154C","135B","OA","OE",3,17.7006666666667,16.501,2.70128531135334,1.55958780166784,6.71036471213008
"269","154C","137B","OA","OA",3,17.7323333333333,16.954,1.9506620243736,1.12621524487008,4.84571309762571
"270","154C","144A","OA","OA",3,0,0,0,0,0
"271","154C","145B","OA","OA",3,0,0,0,0,0
"272","154C","147A","OA","OC",3,17.3506666666667,16.943,0.863018153536373,0.498263763259759,2.14385594112484
"273","154C","149A","OA","OE",3,19.8466666666667,20.486,1.85362383814336,1.07019022192838,4.60465687973132
"274","154C","152A","OA","OA",3,17.7426666666667,17.661,3.22527554378434,1.8621137034146,8.01202860910072
"275","154C","152B","OA","OA",3,17.6626666666667,18.652,2.75653502305582,1.59148623759191,6.84761260453352
"276","154C","154C","OA","OA",3,0,0,0,0,0
"277","154C","157B","OA","OC",3,18.1346666666667,19.568,3.28551325264917,1.89689196084308,8.16166737336129
"278","154C","158","OA","OC",3,16.0806666666667,16.565,1.45238573847767,0.838535297077258,3.60792618496074
"279","154C","159","OA","OE",3,19.845,20.218,1.94254652453937,1.12152975885618,4.8255530784378
"280","154C","165A","OA","OC",3,17.0563333333333,17.309,3.3890713083872,1.95668123220019,8.41891984497568
"281","154C","168A","OA","OE",3,16.7106666666667,16.725,0.278776493509286,0.160951683571326,0.692519200675938
"282","154C","170C","OA","OC",3,16.561,17.153,2.0685415151744,1.19427300061585,5.13854198616589
"283","154C","41","OA","CC",3,12.7746666666667,11.221,2.71184076474511,1.56568199552499,6.73658591196518
"284","154C","53","OA","CC",3,12.975,11.82,2.88167052245742,1.6637332518566,7.15846641767574
"285","154C","57","OA","CC",3,15.9896666666667,15.925,4.41435525681082,2.54862919581837,10.9658663665071
"286","154C","67","OA","CC",3,14.1836666666667,11.051,5.6070356993097,3.23722357035229,13.9286488317856
"287","154C","74","OA","CC",3,15.2596666666667,14.727,1.07771811404158,0.62222084325244,2.67720020972712
"288","154C","77","OA","CC",3,16.0726666666667,16.73,1.16985013285178,0.675413289113496,2.90606883211324
"289","157B","122A","OC","OC",3,0,0,0,0,0
"290","157B","126B","OC","OC",3,0,0,0,0,0
"291","157B","135A","OC","OE",3,0,0,0,0,0
"292","157B","135B","OC","OE",3,0,0,0,0,0
"293","157B","137B","OC","OA",3,0,0,0,0,0
"294","157B","144A","OC","OA",3,0,0,0,0,0
"295","157B","145B","OC","OA",3,0,0,0,0,0
"296","157B","147A","OC","OC",3,0,0,0,0,0
"297","157B","149A","OC","OE",3,0,0,0,0,0
"298","157B","152A","OC","OA",3,0,0,0,0,0
"299","157B","152B","OC","OA",3,0,0,0,0,0
"300","157B","154C","OC","OA",3,0,0,0,0,0
"301","157B","157B","OC","OC",3,0,0,0,0,0
"302","157B","158","OC","OC",3,0,0,0,0,0
"303","157B","159","OC","OE",3,0,0,0,0,0
"304","157B","165A","OC","OC",3,0,0,0,0,0
"305","157B","168A","OC","OE",3,0,0,0,0,0
"306","157B","170C","OC","OC",3,0,0,0,0,0
"307","157B","41","OC","CC",3,0,0,0,0,0
"308","157B","53","OC","CC",3,0,0,0,0,0
"309","157B","57","OC","CC",3,0,0,0,0,0
"310","157B","67","OC","CC",3,0,0,0,0,0
"311","157B","74","OC","CC",3,0,0,0,0,0
"312","157B","77","OC","CC",3,0,0,0,0,0
"313","158","122A","OC","OC",3,0,0,0,0,0
"314","158","126B","OC","OC",3,0,0,0,0,0
"315","158","135A","OC","OE",3,0,0,0,0,0
"316","158","135B","OC","OE",3,0,0,0,0,0
"317","158","137B","OC","OA",3,0,0,0,0,0
"318","158","144A","OC","OA",3,0,0,0,0,0
"319","158","145B","OC","OA",3,0,0,0,0,0
"320","158","147A","OC","OC",3,0,0,0,0,0
"321","158","149A","OC","OE",3,0,0,0,0,0
"322","158","152A","OC","OA",3,0,0,0,0,0
"323","158","152B","OC","OA",3,0,0,0,0,0
"324","158","154C","OC","OA",3,0,0,0,0,0
"325","158","157B","OC","OC",3,0,0,0,0,0
"326","158","158","OC","OC",3,0,0,0,0,0
"327","158","159","OC","OE",3,0,0,0,0,0
"328","158","165A","OC","OC",3,0,0,0,0,0
"329","158","168A","OC","OE",3,0,0,0,0,0
"330","158","170C","OC","OC",3,0,0,0,0,0
"331","158","41","OC","CC",3,0,0,0,0,0
"332","158","53","OC","CC",3,0,0,0,0,0
"333","158","57","OC","CC",3,0,0,0,0,0
"334","158","67","OC","CC",3,0,0,0,0,0
"335","158","74","OC","CC",3,0,0,0,0,0
"336","158","77","OC","CC",3,0,0,0,0,0
"337","159","122A","OE","OC",3,0,0,0,0,0
"338","159","126B","OE","OC",3,0,0,0,0,0
"339","159","135A","OE","OE",3,0,0,0,0,0
"340","159","135B","OE","OE",3,0,0,0,0,0
"341","159","137B","OE","OA",3,0,0,0,0,0
"342","159","144A","OE","OA",3,0,0,0,0,0
"343","159","145B","OE","OA",3,0,0,0,0,0
"344","159","147A","OE","OC",3,0,0,0,0,0
"345","159","149A","OE","OE",3,0,0,0,0,0
"346","159","152A","OE","OA",3,0,0,0,0,0
"347","159","152B","OE","OA",3,0,0,0,0,0
"348","159","154C","OE","OA",3,0,0,0,0,0
"349","159","157B","OE","OC",3,0,0,0,0,0
"350","159","158","OE","OC",3,0,0,0,0,0
"351","159","159","OE","OE",3,0,0,0,0,0
"352","159","165A","OE","OC",3,0,0,0,0,0
"353","159","168A","OE","OE",3,0,0,0,0,0
"354","159","170C","OE","OC",3,0,0,0,0,0
"355","159","41","OE","CC",3,0,0,0,0,0
"356","159","53","OE","CC",3,0,0,0,0,0
"357","159","57","OE","CC",3,0,0,0,0,0
"358","159","67","OE","CC",3,0,0,0,0,0
"359","159","74","OE","CC",3,0,0,0,0,0
"360","159","77","OE","CC",3,0,0,0,0,0
"361","165A","122A","OC","OC",3,0,0,0,0,0
"362","165A","126B","OC","OC",3,0,0,0,0,0
"363","165A","135A","OC","OE",3,0,0,0,0,0
"364","165A","135B","OC","OE",3,0,0,0,0,0
"365","165A","137B","OC","OA",3,0,0,0,0,0
"366","165A","144A","OC","OA",3,0,0,0,0,0
"367","165A","145B","OC","OA",3,0,0,0,0,0
"368","165A","147A","OC","OC",3,0,0,0,0,0
"369","165A","149A","OC","OE",3,0,0,0,0,0
"370","165A","152A","OC","OA",3,0,0,0,0,0
"371","165A","152B","OC","OA",3,0,0,0,0,0
"372","165A","154C","OC","OA",3,0,0,0,0,0
"373","165A","157B","OC","OC",3,0,0,0,0,0
"374","165A","158","OC","OC",3,0,0,0,0,0
"375","165A","159","OC","OE",3,0,0,0,0,0
"376","165A","165A","OC","OC",3,0,0,0,0,0
"377","165A","168A","OC","OE",3,0,0,0,0,0
"378","165A","170C","OC","OC",3,0,0,0,0,0
"379","165A","41","OC","CC",3,0,0,0,0,0
"380","165A","53","OC","CC",3,0,0,0,0,0
"381","165A","57","OC","CC",3,0,0,0,0,0
"382","165A","67","OC","CC",3,0,0,0,0,0
"383","165A","74","OC","CC",3,0,0,0,0,0
"384","165A","77","OC","CC",3,0,0,0,0,0
"385","168A","122A","OE","OC",3,0,0,0,0,0
"386","168A","126B","OE","OC",3,0,0,0,0,0
"387","168A","135A","OE","OE",3,0,0,0,0,0
"388","168A","135B","OE","OE",3,0,0,0,0,0
"389","168A","137B","OE","OA",3,0,0,0,0,0
"390","168A","144A","OE","OA",3,0,0,0,0,0
"391","168A","145B","OE","OA",3,0,0,0,0,0
"392","168A","147A","OE","OC",3,0,0,0,0,0
"393","168A","149A","OE","OE",3,0,0,0,0,0
"394","168A","152A","OE","OA",3,0,0,0,0,0
"395","168A","152B","OE","OA",3,0,0,0,0,0
"396","168A","154C","OE","OA",3,0,0,0,0,0
"397","168A","157B","OE","OC",3,0,0,0,0,0
"398","168A","158","OE","OC",3,0,0,0,0,0
"399","168A","159","OE","OE",3,0,0,0,0,0
"400","168A","165A","OE","OC",3,0,0,0,0,0
"401","168A","168A","OE","OE",3,0,0,0,0,0
"402","168A","170C","OE","OC",3,0,0,0,0,0
"403","168A","41","OE","CC",3,0,0,0,0,0
"404","168A","53","OE","CC",3,0,0,0,0,0
"405","168A","57","OE","CC",3,0,0,0,0,0
"406","168A","67","OE","CC",3,0,0,0,0,0
"407","168A","74","OE","CC",3,0,0,0,0,0
"408","168A","77","OE","CC",3,0,0,0,0,0
"409","170C","122A","OC","OC",3,0,0,0,0,0
"410","170C","126B","OC","OC",3,0,0,0,0,0
"411","170C","135A","OC","OE",3,0,0,0,0,0
"412","170C","135B","OC","OE",3,0,0,0,0,0
"413","170C","137B","OC","OA",3,0,0,0,0,0
"414","170C","144A","OC","OA",3,0,0,0,0,0
"415","170C","145B","OC","OA",3,0,0,0,0,0
"416","170C","147A","OC","OC",3,0,0,0,0,0
"417","170C","149A","OC","OE",3,0,0,0,0,0
"418","170C","152A","OC","OA",3,0,0,0,0,0
"419","170C","152B","OC","OA",3,0,0,0,0,0
"420","170C","154C","OC","OA",3,0,0,0,0,0
"421","170C","157B","OC","OC",3,0,0,0,0,0
"422","170C","158","OC","OC",3,0,0,0,0,0
"423","170C","159","OC","OE",3,0,0,0,0,0
"424","170C","165A","OC","OC",3,0,0,0,0,0
"425","170C","168A","OC","OE",3,0,0,0,0,0
"426","170C","170C","OC","OC",3,0,0,0,0,0
"427","170C","41","OC","CC",3,0,0,0,0,0
"428","170C","53","OC","CC",3,0,0,0,0,0
"429","170C","57","OC","CC",3,0,0,0,0,0
"430","170C","67","OC","CC",3,0,0,0,0,0
"431","170C","74","OC","CC",3,0,0,0,0,0
"432","170C","77","OC","CC",3,0,0,0,0,0
"433","41","122A","CC","OC",3,0,0,0,0,0
"434","41","126B","CC","OC",3,0,0,0,0,0
"435","41","135A","CC","OE",3,0,0,0,0,0
"436","41","135B","CC","OE",3,0,0,0,0,0
"437","41","137B","CC","OA",3,0,0,0,0,0
"438","41","144A","CC","OA",3,0,0,0,0,0
