"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"393",0,"165A","149A",5,0,0,0,0,0
"394",0,"165A","152A",5,0,0,0,0,0
"395",0,"165A","152B",5,0,0,0,0,0
"396",0,"165A","154C",5,0,0,0,0,0
"397",0,"165A","157B",5,0,0,0,0,0
"398",0,"165A","158",5,0,0,0,0,0
"399",0,"165A","159",5,0,0,0,0,0
"400",0,"165A","165A",5,0,0,0,0,0
"401",0,"165A","168A",5,0,0,0,0,0
"402",0,"165A","170C",5,0,0,0,0,0
"403",0,"165A","41",5,0,0,0,0,0
"404",0,"165A","53",5,0,0,0,0,0
"405",0,"165A","57",5,0,0,0,0,0
"406",0,"165A","67",5,0,0,0,0,0
"407",0,"165A","74",5,0,0,0,0,0
"408",0,"165A","77",5,0,0,0,0,0
"409",0,"168A","122A",5,0,0,0,0,0
"410",0,"168A","126B",5,0,0,0,0,0
"411",0,"168A","135A",5,0,0,0,0,0
"412",0,"168A","135B",5,0,0,0,0,0
"413",0,"168A","137B",5,0,0,0,0,0
"414",0,"168A","144A",5,0,0,0,0,0
"415",0,"168A","145B",5,0,0,0,0,0
"416",0,"168A","147A",5,0,0,0,0,0
"417",0,"168A","149A",5,0,0,0,0,0
"418",0,"168A","152A",5,0,0,0,0,0
"419",0,"168A","152B",5,0,0,0,0,0
"420",0,"168A","154C",5,0,0,0,0,0
"421",0,"168A","157B",5,0,0,0,0,0
"422",0,"168A","158",5,0,0,0,0,0
"423",0,"168A","159",5,0,0,0,0,0
"424",0,"168A","165A",5,0,0,0,0,0
"425",0,"168A","168A",5,0,0,0,0,0
"426",0,"168A","170C",5,0,0,0,0,0
"427",0,"168A","41",5,0,0,0,0,0
"428",0,"168A","53",5,0,0,0,0,0
"429",0,"168A","57",5,0,0,0,0,0
"430",0,"168A","67",5,0,0,0,0,0
"431",0,"168A","74",5,0,0,0,0,0
"432",0,"168A","77",5,0,0,0,0,0
"433",0,"170C","122A",5,0,0,0,0,0
"434",0,"170C","126B",5,0,0,0,0,0
"435",0,"170C","135A",5,0,0,0,0,0
"436",0,"170C","135B",5,0,0,0,0,0
"437",0,"170C","137B",5,0,0,0,0,0
"438",0,"170C","144A",5,0,0,0,0,0
"439",0,"170C","145B",5,0,0,0,0,0
"440",0,"170C","147A",5,0,0,0,0,0
"441",0,"170C","149A",5,0,0,0,0,0
"442",0,"170C","152A",5,0,0,0,0,0
"443",0,"170C","152B",5,0,0,0,0,0
"444",0,"170C","154C",5,0,0,0,0,0
