"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"227","126B","50% TY",62,5,0.1986,0.194,0.0104940459309077,0.00469308001210293,0.0130300790279048
"228","126B","53",0,5,0,0,0,0,0
"229","126B","53",24,5,0.05156,0.0512,0.00424770526284487,0.00189963154322095,0.00527422269985513
"230","126B","53",39,5,0.14196,0.141,0.00261591284258478,0.00116987178784686,0.0032480847990764
"231","126B","53",48,5,0.17666,0.1757,0.00209714091085936,0.000937869927015469,0.00260394436817431
"232","126B","53",62,5,0.20556,0.2047,0.0035528861507231,0.00158889898986688,0.00441149082306963
"233","126B","57",0,5,0,0,0,0,0
"234","126B","57",24,5,0.02954,0.0243,0.0141174714449862,0.00631352516428025,0.017529156038909
"235","126B","57",39,5,0.10806,0.1069,0.0116285424710064,0.00520044228888275,0.0144387425378321
"236","126B","57",48,5,0.14018,0.1409,0.00546781492005718,0.00244528116992709,0.0067891889350764
"237","126B","57",62,5,0.17812,0.18,0.00499169309954047,0.00223235301867783,0.00619800561178157
"238","126B","67",0,5,0,0,0,0,0
"239","126B","67",24,5,0.03356,0.0275,0.0156265159264629,0.00698839037261085,0.0194028822432468
"240","126B","67",39,5,0.11302,0.1114,0.00762967889232568,0.0034120961299471,0.00947349759845597
"241","126B","67",48,5,0.151,0.1491,0.00517976833458794,0.0023164628207679,0.00643153186009372
"242","126B","67",62,5,0.19606,0.1972,0.00627200127551007,0.00280492424140118,0.00778771818048894
"243","126B","74",0,5,0,0,0,0,0
"244","126B","74",24,5,0.04772,0.0489,0.00339735190994398,0.0015193419628247,0.00421836955580623
"245","126B","74",39,5,0.13818,0.1351,0.0137190378671392,0.00613534025136341,0.0170344354096209
"246","126B","74",48,5,0.18344,0.1848,0.0133102592010825,0.00595252887435248,0.0165268696567445
"247","126B","74",62,5,0.23544,0.2357,0.0131788846265532,0.00589377637851997,0.0163637465772722
"248","126B","77",0,5,0,0,0,0,0
"249","126B","77",24,5,0.0425,0.038,0.0189089925696744,0.00845635855436606,0.0234786153160671
"250","126B","77",39,5,0.1277,0.1272,0.0104158533015783,0.00465811120519895,0.0129329900551416
"251","126B","77",48,5,0.15982,0.161,0.00948562069661232,0.00424209853728081,0.0117779537196
"252","126B","77",62,5,0.20512,0.2051,0.00709908444801159,0.0031748070807531,0.00881467757930423
"253","135A","100% TY",0,5,0,0,0,0,0
"254","135A","100% TY",24,5,0.0522,0.0495,0.0102022056438792,0.00456256506802917,0.012667711450276
"255","135A","100% TY",39,5,0.1763,0.1735,0.0118953772533703,0.00531977443130816,0.0147700616805619
"256","135A","100% TY",48,5,0.2276,0.224,0.0111850346445597,0.00500209955918512,0.0138880548368116
"257","135A","100% TY",62,5,0.2912,0.2926,0.00729280467310073,0.00326144139913627,0.00905521300852134
"258","135A","122A",0,5,0,0,0,0,0
"259","135A","122A",24,5,0.05834,0.0576,0.0042535867218149,0.00190226181163372,0.00528152549571513
"260","135A","122A",39,5,0.14966,0.1492,0.00468166637000118,0.00209370485025947,0.00581305658323177
"261","135A","122A",48,5,0.18488,0.1869,0.00445331337320876,0.00199158228552074,0.00552951888823268
"262","135A","122A",62,5,0.23106,0.2323,0.00888723804114642,0.0039744936784451,0.0110349635191585
"263","135A","126B",0,5,0,0,0,0,0
"264","135A","126B",24,5,0.04932,0.0499,0.00288045135352083,0.00128817700647077,0.00357655274424412
"265","135A","126B",39,5,0.16428,0.1653,0.0116921768717378,0.0052289004580313,0.0145177550822675
"266","135A","126B",48,5,0.1817,0.1825,0.00702531138099942,0.00314181476220352,0.00872307621795814
"267","135A","126B",62,5,0.22968,0.2301,0.00669679027594563,0.0029948956576148,0.00831516338916273
"268","135A","135A",0,5,0,0,0,0,0
