"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"145B_50_TY_2","50_TY",NA,"145B","OA","145B_50_TY",2,6.85695,0.212,0.212,0.988845305221869,0.963636363636364
"145B_50_TY_3","50_TY",NA,"145B","OA","145B_50_TY",3,6.39395,0.2271,0.2271,1.06835593206179,1.09604247104247
"145B_50_TY_4","50_TY",NA,"145B","OA","145B_50_TY",4,6.7318,0.2461,0.2461,1.03622747808418,1.15811764705882
"145B_50_TY_5","50_TY",NA,"145B","OA","145B_50_TY",5,7.5528,0.2522,0.2522,1.26208141167034,1.2528564331843
"157B_50_TY_1","50_TY",NA,"157B","OC","157B_50_TY",1,5.2203,0.2377,0.2377,0.888629767386438,1.11648661343354
"157B_50_TY_2","50_TY",NA,"157B","OC","157B_50_TY",2,4.15295,0.1911,0.1911,0.674448441344365,0.869031377899045
"157B_50_TY_3","50_TY",NA,"157B","OC","157B_50_TY",3,4.70485,0.1906,0.1906,0.774002237357286,0.88159111933395
"157B_50_TY_4","50_TY",NA,"157B","OC","157B_50_TY",4,5.12185,0.1996,0.1996,0.823177248655989,0.941509433962264
"157B_50_TY_5","50_TY",NA,"157B","OC","157B_50_TY",5,5.4424,0.1833,0.1833,0.949592588069024,0.882522869523351
"154C_50_TY_1","50_TY",NA,"154C","OA","154C_50_TY",1,5.4426,0.2067,0.2067,0.922990825376906,0.782065834279228
"154C_50_TY_2","50_TY",NA,"154C","OA","154C_50_TY",2,5.50995,0.2125,0.2125,0.972364136908701,0.797672672672673
"154C_50_TY_3","50_TY",NA,"154C","OA","154C_50_TY",3,5.0628,0.1973,0.1973,1.03037518698293,0.837436332767402
"154C_50_TY_4","50_TY",NA,"154C","OA","154C_50_TY",4,5.3932,0.205,0.205,0.925458164596059,0.799531981279251
"154C_50_TY_5","50_TY",NA,"154C","OA","154C_50_TY",5,5.278,0.2138,0.2138,0.982392137884824,0.841070023603462
"165A_50_TY_1","50_TY",NA,"165A","OC","165A_50_TY",1,5.44955,0.1844,0.1844,0.760956230930887,0.812334801762114
"165A_50_TY_2","50_TY",NA,"165A","OC","165A_50_TY",2,5.7321,0.1887,0.1887,0.826719357327776,0.866391184573003
"165A_50_TY_3","50_TY",NA,"165A","OC","165A_50_TY",3,5.70585,0.1787,0.1787,0.840839092824827,0.839755639097744
"165A_50_TY_4","50_TY",NA,"165A","OC","165A_50_TY",4,5.18835,0.1722,0.1722,0.777671190784889,0.803921568627451
"165A_50_TY_5","50_TY",NA,"165A","OC","165A_50_TY",5,5.02645000000001,0.1578,0.1578,0.774581037870326,0.752503576537911
"144A_50_TY_1","50_TY",NA,"144A","OA","144A_50_TY",1,7.67005,0.2953,0.2953,0.966817087466755,1.07734403502371
"144A_50_TY_2","50_TY",NA,"144A","OA","144A_50_TY",2,7.7293,0.2886,0.2886,0.954193337324931,1.06888888888889
"144A_50_TY_3","50_TY",NA,"144A","OA","144A_50_TY",3,6.4155,0.258,0.258,0.808684965178205,1.01057579318449
"144A_50_TY_4","50_TY",NA,"144A","OA","144A_50_TY",4,7.8963,0.2973,0.2973,0.971565322243276,1.10561547043511
"144A_50_TY_5","50_TY",NA,"144A","OA","144A_50_TY",5,8.3278,0.3124,0.3124,1.03768036484163,1.19236641221374
"122A_50_TY_1","50_TY",NA,"122A","OC","122A_50_TY",1,4.9316,0.217,0.217,0.779588675129231,0.979683972911964
"122A_50_TY_2","50_TY",NA,"122A","OC","122A_50_TY",2,4.7155,0.204,0.204,0.741023021921899,0.898678414096916
