"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"67_100_TY_5","100_TY",NA,"67","CC","67_100_TY",5,9.154,0.3311,0.3311,0.00550416666666667,24,0.072,1.39889207258835,1.33669761808639,1.34111675126904
"152B_50_TY_1","50_TY",NA,"152B","OA","152B_50_TY",1,7.65395,0.2437,0.2437,0.00468333333333333,24,0.0671,0.931556783467011,0.865104721334753,1.16779220779221
"152B_50_TY_2","50_TY",NA,"152B","OA","152B_50_TY",2,7.59245,0.2273,0.2273,0.004625,24,0.0721,0.889999238059513,0.755651595744681,1.07558139534884
"152B_50_TY_3","50_TY",NA,"152B","OA","152B_50_TY",3,7.2794,0.2469,0.2469,0.00446666666666667,24,0.0586,0.923149111015295,0.882100750267953,1.05459911460895
"152B_50_TY_4","50_TY",NA,"152B","OA","152B_50_TY",4,7.31885,0.2666,0.2666,0.00451875,48,0.2106,0.950629631313361,0.95487106017192,1.05650267900633
"152B_50_TY_5","50_TY",NA,"152B","OA","152B_50_TY",5,7.6786,0.2668,0.2668,0.00458125,24,0.0589,0.992984475322811,0.944424778761062,1.07059396299903
"147A_50_TY_1","50_TY",NA,"147A","OC","147A_50_TY",1,5.87225,0.2285,0.2285,0.00405,48,0.1788,1.00898633149769,1.01510439804531,1.04124263524371
"147A_50_TY_2","50_TY",NA,"147A","OC","147A_50_TY",2,6.5343,0.2256,0.2256,0.0040375,24,0.052,1.14376985620389,1.02545454545455,1.05383360522023
"147A_50_TY_3","50_TY",NA,"147A","OC","147A_50_TY",3,6.2743,0.2033,0.2033,0.00392916666666667,24,0.0498,1.11049557522124,0.943825441039926,1.05304299274149
"147A_50_TY_4","50_TY",NA,"147A","OC","147A_50_TY",4,6.6002,0.2257,0.2257,0.00400208333333333,24,0.0593,1.11453153099908,1.07527393997142,1.078607523863
"147A_50_TY_5","50_TY",NA,"147A","OC","147A_50_TY",5,6.8343,0.2227,0.2227,0.00392916666666667,24,0.0678,1.1855533293435,1.04652255639098,1.07709880068532
"137B_50_TY_1","50_TY",NA,"137B","OA","137B_50_TY",1,7.8433,0.2623,0.2623,0.00441875,24,0.0639,1.33278390456932,1.18956916099773,1.14339622641509
"137B_50_TY_2","50_TY",NA,"137B","OA","137B_50_TY",2,7.30475,0.2294,0.2294,0.004375,24,0.0609,1.21298041397176,1.01955555555556,1.11702127659574
"137B_50_TY_3","50_TY",NA,"137B","OA","137B_50_TY",3,8.0164,0.2644,0.2644,0.0047,24,0.0696,1.35013052631579,1.16939407341884,1.15573770491803
"137B_50_TY_4","50_TY",NA,"137B","OA","137B_50_TY",4,7.54765,0.2476,0.2476,0.004625,24,0.0627,1.24886656959428,1.08883025505717,1.16048092002091
"137B_50_TY_5","50_TY",NA,"137B","OA","137B_50_TY",5,7.45735,0.2667,0.2667,0.00447708333333333,24,0.0586,1.14891961637715,1.17127799736495,1.18729281767956
"158_50_TY_1","50_TY",NA,"158","OC","158_50_TY",1,4.91485,0.1866,0.1866,0.00312708333333333,48,0.1318,0.874186261605776,0.891117478510029,0.948199620972836
"158_50_TY_2","50_TY",NA,"158","OC","158_50_TY",2,4.63255,0.1749,0.1749,0.00304791666666667,48,0.1333,0.736752123159134,0.821898496240602,0.863126843657817
"158_50_TY_3","50_TY",NA,"158","OC","158_50_TY",3,4.73015,0.1768,0.1768,0.00282916666666667,48,0.1267,0.800275773392097,0.833962264150943,0.832107843137255
"158_50_TY_4","50_TY",NA,"158","OC","158_50_TY",4,3.85195,0.1752,0.1752,0.00355,48,0.1225,0.618459290657162,0.802933088909258,1.00058719906048
"158_50_TY_5","50_TY",NA,"158","OC","158_50_TY",5,4.28505,0.1896,0.1896,0.003575,48,0.1191,0.621233318594014,0.849843119677275,0.906497622820919
"152A_50_TY_1","50_TY",NA,"152A","OA","152A_50_TY",1,7.1435,0.2206,0.2206,0.00443958333333333,24,0.0587,1.19496487119438,0.964160839160839,1.09114183307732
"152A_50_TY_2","50_TY",NA,"152A","OA","152A_50_TY",2,7.6974,0.2622,0.2622,0.0046875,24,0.0606,1.21633601175662,1.10029374737726,1.14097363083164
"152A_50_TY_3","50_TY",NA,"152A","OA","152A_50_TY",3,7.26935,0.2607,0.2607,0.00444166666666667,24,0.0515,1.16323558827059,1.13644289450741,1.01863354037267
"152A_50_TY_4","50_TY",NA,"152A","OA","152A_50_TY",4,7.244,0.2567,0.2567,0.00444375,24,0.0533,1.09349998490475,1.03092369477912,1.03193033381713
"152A_50_TY_5","50_TY",NA,"152A","OA","152A_50_TY",5,7.46215000000001,0.2568,0.2568,0.00438333333333333,24,0.0629,1.14349308508601,1.05592105263158,1.0057361376673
"170C_50_TY_1","50_TY",NA,"170C","OC","170C_50_TY",1,5.98255,0.232,0.232,0.0039875,48,0.1743,1.16509893277245,1.08108108108108,1.04134929270947
"170C_50_TY_2","50_TY",NA,"170C","OC","170C_50_TY",2,6.5156,0.2508,0.2508,0.00410208333333333,48,0.1805,1.12805685644786,1.08665511265165,1.04622741764081
"170C_50_TY_3","50_TY",NA,"170C","OC","170C_50_TY",3,5.9267,0.2185,0.2185,0.00355625,48,0.1642,1.2887492389319,1.08382936507937,0.947280799112098
"170C_50_TY_4","50_TY",NA,"170C","OC","170C_50_TY",4,5.41685,0.2149,0.2149,0.00372291666666667,48,0.1579,1.05760670076926,1.00844673862037,0.985659128516271
"170C_50_TY_5","50_TY",NA,"170C","OC","170C_50_TY",5,5.89779999999999,0.2171,0.2171,0.00359375,48,0.1712,1.25054068953819,1.06893156080748,0.962611607142857
