time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind
0,152A,OA,122A,OC,0.0971,0,
0,152A,OA,149A,OE,0.1063,0,
0,152A,OA,149A,OE,0.1053,0,
0,152A,OA,149A,OE,0.1066,0,
0,152A,OA,149A,OE,0.1065,0,
0,152A,OA,149A,OE,0.1063,0,
0,152A,OA,41,CC,0.1088,0,
0,152A,OA,41,CC,0.1075,0,
0,152A,OA,41,CC,0.1071,0,
0,152A,OA,41,CC,0.1091,0,
0,152A,OA,41,CC,0.1073,0,
0,152A,OA,126B,OC,0.1044,0,
0,152A,OA,126B,OC,0.1055,0,
0,152A,OA,126B,OC,0.107,0,
0,152A,OA,126B,OC,0.1064,0,
0,152A,OA,126B,OC,0.1058,0,
0,152A,OA,53,CC,0.1046,0,
0,152A,OA,53,CC,0.1053,0,
0,152A,OA,53,CC,0.1067,0,
0,152A,OA,53,CC,0.105,0,
0,152A,OA,53,CC,0.1048,0,
0,152A,OA,135B,OE,0.0995,0,
0,152A,OA,135B,OE,0.1024,0,
0,152A,OA,135B,OE,0.1051,0,
0,152A,OA,135B,OE,0.1035,0,
0,152A,OA,135B,OE,0.1039,0,
0,152A,OA,57,CC,0.1031,0,
0,152A,OA,57,CC,0.1042,0,
0,152A,OA,57,CC,0.1047,0,
0,152A,OA,57,CC,0.1039,0,
0,152A,OA,57,CC,0.1039,0,
0,152A,OA,135A,OE,0.097,0,
0,152A,OA,135A,OE,0.1003,0,
0,152A,OA,135A,OE,0.1007,0,
0,152A,OA,135A,OE,0.0991,0,
0,152A,OA,135A,OE,0.0976,0,
0,152A,OA,77,CC,0.0975,0,
0,152A,OA,77,CC,0.0973,0,
0,152A,OA,77,CC,0.0978,0,
0,152A,OA,77,CC,0.0977,0,
0,152A,OA,77,CC,0.097,0,
0,152A,OA,159,OE,0.0973,0,
0,152A,OA,159,OE,0.0973,0,
0,152A,OA,159,OE,0.0975,0,
0,152A,OA,159,OE,0.098,0,
0,152A,OA,159,OE,0.0965,0,
0,152A,OA,74,CC,0.0966,0,
0,152A,OA,74,CC,0.0986,0,
0,152A,OA,74,CC,0.0976,0,
0,152A,OA,74,CC,0.0975,0,
0,152A,OA,74,CC,0.0971,0,
0,152A,OA,168A,OE,0.0976,0,
0,152A,OA,168A,OE,0.0974,0,
